Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Beginner Novice, OBN:A",Whaddya Mean,SJ JOLLEY,39.4,0,8,0,0,47.4,8,0.0
"[HT] Beginner Novice, OBN:A",Devonshire Cream,LIA COLOMBI,31.2,-,-,-,-,W,W,0.0
"[HT] Beginner Novice, OBN:A",OMS Vienna Stardust,VALI FRANK,31.5,-,-,-,4,RF,RF,0.0
"[HT] Beginner Novice, OBN:A",Kismet Ale Mary,LUCINDE E. VAN BRAKEL,29.4,12,0,E,0,0,E,E,0.0
"[HT] Beginner Novice, OBN:B",Lausbub Z,SIGOURNEY JELLINS,28.2,0,0,0,0,28.2,1,0.0
"[HT] Beginner Novice, OBN:B",GHINO AWH Z,JOSH BARNACLE,28.5,0,0,0,0,28.5,2,0.0
"[HT] Beginner Novice, OBN:B",Jungle Love DF,NICOLE FUENTES,30.9,0,0,4,0,34.9,3,7.0
"[HT] Beginner Novice, OBN:B",Diana,RUTH BLEY,35,0,0,0,0,35,4,6.0
"[HT] Beginner Novice, OBN:B",Private Reserve HLB (Gwen),EARL MCFALL,34.4,0,8,0,0,42.4,5,0.0
"[HT] Beginner Novice, OBN:B",Tapped Off,KRISTIN JOLY,40.9,0,0,4,0,44.9,6,0.0
"[HT] Beginner Novice, OBN:B",Sweet Valentine,SOOBIN OH,31.5,19,3.6,0,0,54.1,7,0.0
"[HT] Beginner Novice, OBN:B",Enamored,LISA F. AVILA,30.3,20,0,4,0,54.3,8,0.0
"[HT] Beginner Novice, OBN:B",Master Twain DF,CAROLINE M. DEIN,30.9,20,8.8,4,6.4,70.1,9,0.0
"[HT] Beginner Novice, OBN:B",River North,SJ JOLLEY,38.5,40,0,8,0,86.5,10,0.0
"[HT] Beginner Novice, OBN:B",Do Good Deeds,JENNIFER SCOFIELD,44.1,-,-,-,12,E,E,0.0
"[HT] Beginner Novice, OBN:B",Farrah Well MTR,NICOLAS SALLEMBIEN,34.1,0,TE,0,0,TE,TE,0.0
"[HT] Beginner Novice, SBNR:A",Optimistic Sol,GRETCHEN A. POPE,20,0,0,12,0,32,1,7.0
"[HT] Beginner Novice, SBNR:A",Branjammas Trio,ERIN O'MALLEY O'MALLEY,32.4,0,0,0,0,32.4,2,6.0
"[HT] Beginner Novice, SBNR:A",Duke's Helios,DANA WALSH,34.1,0,0,0,0,34.1,3,5.0
"[HT] Beginner Novice, SBNR:A",Pelos,ANTOINE AUBRIOT,34.1,0,0,0,0,34.1,4,0.0
"[HT] Beginner Novice, SBNR:A",Napoleon,REBECCA WYMA,37.4,0,0,0,1.2,38.6,5,0.0
"[HT] Beginner Novice, SBNR:A",Reatta’s Legacy,MEGAN REYES,31.2,0,0,8,0,39.2,6,4.0
"[HT] Beginner Novice, SBNR:A",Carlton Blue's Aine,RACHEL A. LUCAS,43.8,0,0,0,0,43.8,7,3.0
"[HT] Beginner Novice, SBNR:A",That Says It All,ERICA HOUNSHELL,46.5,0,0,0,0,46.5,8,0.0
"[HT] Beginner Novice, SBNR:A",Rendezvous,LAURA BALGOOYEN,29.7,20,0,0,0,49.7,9,0.0
"[HT] Beginner Novice, SBNR:A",Ard Cooley,AMELIA MAZER,47.1,0,0,4,0,51.1,10,0.0
"[HT] Beginner Novice, SBNR:A",Hemsworth DF,MEGAN GUYAN,32.4,0,18.8,0,0,51.2,11,0.0
"[HT] Beginner Novice, SBNR:A",Buffalo Bill Cody,KARI DELEEUW,35.6,20,0,0,0,55.6,12,0.0
"[HT] Beginner Novice, SBNR:A",Spring Valley Jet,MEGAN ATWOOD,48.2,20,0,0,0,68.2,13,0.0
"[HT] Beginner Novice, SBNR:A",Todd!,JULIE MANDLE,32.9,40,10,0,0,82.9,14,0.0
"[HT] Beginner Novice, SBNR:A",SF Dayton,LISA SIRES,23.5,60,R,4,4,R,R,0.0
"[HT] Beginner Novice, SBNR:A",Heavenly Tiger,CAITLIN GUGLIELMONI,37.4,80,E,0,0,E,E,0.0
"[HT] Beginner Novice, SBNR:A",Elio,JUSTIN SMITH,54.1,20,RF,8,0,RF,RF,0.0
"[HT] Beginner Novice, SBNR:A",Runaway Princess,TARAN VIXIE,36.2,-,W,8,0,W,W,0.0
"[HT] Beginner Novice, SBNR:A",Marvella KF,ROBIN MOONEY,32.1,60,R,0,0,R,R,0.0
"[HT] Beginner Novice, SBNR:B",Little Elf,ANNIE DESMOND,20,0,0,0,0,20,1,7.0
"[HT] Beginner Novice, SBNR:B",Killian's Irish Pearl,SUZANNE HARVEY,28.2,0,0,4,0,32.2,2,6.0
"[HT] Beginner Novice, SBNR:B",Tessa,NAZILA HEJAZI,33.2,0,0,0,0,33.2,3,5.0
"[HT] Beginner Novice, SBNR:B",Avoca Druid,KAREN BURKS,34.7,0,0,0,0,34.7,4,4.0
"[HT] Beginner Novice, SBNR:B",Munchen,JESSIE DEETER,27.7,0,7.6,0,0,35.3,5,3.0
"[HT] Beginner Novice, SBNR:B",Entrez Nous,KATHERINE CHAPPELL,35.9,0,0,0,0,35.9,6,0.0
"[HT] Beginner Novice, SBNR:B",Lei Aloha R,JANELLE LYONS,36.2,0,0,0,0,36.2,7,0.0
"[HT] Beginner Novice, SBNR:B",Queen Elsa Z,ALYSIA DELEEUW,31.5,0,0,4,2,37.5,8,0.0
"[HT] Beginner Novice, SBNR:B",Change of Luck,NAOMI L. BONESS,38.8,0,0,0,2,40.8,9,0.0
"[HT] Beginner Novice, SBNR:B",Cornet Star,JENNIFER WANG,26.2,0,3.6,4,7.2,41,10,0.0
"[HT] Beginner Novice, SBNR:B",Rush Himalaya,JUDY NORTON,38.5,0,0,8,0,46.5,11,0.0
"[HT] Beginner Novice, SBNR:B",High Noon,TERRY CLARK,32.9,0,6,8,0,46.9,12,0.0
"[HT] Beginner Novice, SBNR:B",Shimmer of Gold,EURYDICE RORICK,46.8,0,0,4,0.4,51.2,13,0.0
"[HT] Beginner Novice, SBNR:B",Barony,CHRISTINE ECKHAUS,30.9,0,26,0,2.4,59.3,14,0.0
"[HT] Beginner Novice, SBNR:B",Wunderstein,MOLLY RICE,29.4,40,1.6,0,0,71,15,0.0
"[HT] Beginner Novice, SBNR:B",Olympia 21,ISABELLA J. PAVONE,43.8,40,8.8,8,3.2,103.8,16,0.0
"[HT] Beginner Novice, SBNR:B",Doc Duffy,DORA LEE,39.1,-,-,-,-,W,W,0.0
"[HT] Beginner Novice, SBNR:B",All That Razz,JESSIE STEWARD,30.3,60,R,0,1.2,R,R,0.0
"[HT] Beginner Novice, SBNR:B",Razzmatazz,RICHENE HAVRILLA,27.1,40,R,4,0.4,R,R,0.0
"[HT] Beginner Novice, SBNR:B",Wise Guise,CLAIRE MCFARLANE,31.2,0,TE,0,0,TE,TE,0.0
